,country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Positive affect,Negative affect,Confidence in national government
52,Austria,2006,7.1222114560000005,10.64822578,0.936350405,70.01869965,0.9413823490000001,0.823104739,0.173811689,0.497037798
53,Austria,2008,7.180953979,10.69278336,0.9345927829999999,70.5018692,0.879069269,0.8321695920000001,0.17319452800000001,0.257242203
54,Austria,2010,7.302678585,10.66813183,0.9141933320000001,70.63227844,0.8959797620000001,0.8147191999999999,0.155792549,0.48644661899999997
55,Austria,2011,7.470512867,10.69245338,0.944156826,70.98503876,0.9393556120000001,0.7894708509999999,0.14523755,0.406920105
56,Austria,2012,7.400688647999999,10.69543934,0.9451423879999999,70.94441223,0.919703901,0.8222477440000001,0.15667499599999998,0.376573861
57,Austria,2013,7.498802662,10.69280529,0.9498091940000001,70.90379333,0.921734452,0.787312806,0.162603319,0.417099237
58,Austria,2014,6.9499998089999995,10.68985462,0.8989204759999999,70.86317444,0.8850268720000001,0.7796927690000001,0.17014955,0.40769541299999995
59,Austria,2015,7.07644701,10.6913538,0.9281103009999999,70.82255554,0.900305152,0.798262954,0.16446903300000001,0.454789877
97,Belgium,2005,7.262290478,10.58393764,0.934874713,70.09518433,0.9238430259999999,0.796278775,0.26037994,0.5517050029999999
98,Belgium,2007,7.218839645,10.62809658,0.9216027859999999,70.80735016,0.900870383,0.8134771590000001,0.217604309,0.602238297
99,Belgium,2008,7.116590977,10.62763977,0.92297703,70.71643066,0.8870267270000001,0.81312269,0.241797924,0.46313706
100,Belgium,2010,6.853514194,10.6116724,0.930570185,71.20780182,0.806930244,0.8282585140000001,0.24036432800000002,0.33651647
101,Belgium,2011,7.111363888,10.61787605,0.9369554520000001,71.51950836,0.880153596,0.834544539,0.225056365,0.289129466
102,Belgium,2012,6.935122012999999,10.61212635,0.92711705,71.3420105,0.8552666309999999,0.820485771,0.23827680899999998,0.44011718
103,Belgium,2013,7.10366106,10.60740089,0.9091861840000001,71.3420105,0.8907110690000001,0.797417402,0.21713894600000003,0.554124534
104,Belgium,2014,6.855329037000001,10.61701012,0.9435491559999999,71.3420105,0.86095351,0.797633767,0.251557052,0.46911162100000003
105,Belgium,2015,6.904219151,10.62617779,0.885208845,71.3420105,0.869474947,0.80517751,0.239958704,0.459024221
297,Denmark,2005,8.01893425,10.69011307,0.9723715190000001,68.11341095,0.97113502,0.8595490459999999,0.15367195,0.66868329
298,Denmark,2007,7.834233284,10.72786713,0.9542011020000001,68.42073059,0.932086229,0.827859938,0.194323689,0.592505932
299,Denmark,2008,7.970891953,10.71478558,0.9539117220000001,68.64054871,0.969788373,0.7568655009999999,0.163090929,0.665933907
300,Denmark,2009,7.6833586689999995,10.65721607,0.93889159,68.77286529999999,0.949335575,0.74894917,0.233584777,0.626578152
301,Denmark,2010,7.770515442000001,10.66889477,0.9749770759999999,69.21250153,0.943630815,0.7848266359999999,0.154562935,0.586689413
302,Denmark,2011,7.78823185,10.67623234,0.961736143,69.82499695,0.9347601529999999,0.7694360020000001,0.174883381,0.471823335
303,Denmark,2012,7.519909382000001,10.66589642,0.951437175,70.04481506,0.932627916,0.7737635970000001,0.20856951199999998,0.534252763
304,Denmark,2013,7.588606834,10.65685272,0.9647079709999999,70.26463318,0.920254648,0.862346828,0.19467379199999998,0.391405106
305,Denmark,2014,7.5075592989999995,10.66330051,0.956344306,70.48445129,0.941572249,0.8324829340000001,0.232612774,0.457836896
306,Denmark,2015,7.5144248010000005,10.67642689,0.9597013000000001,70.70426941,0.94143641,0.8292174940000001,0.217577577,0.579888642
372,France,2005,7.093392849,10.50214291,0.940338254,70.38739014,0.89481926,0.768988252,0.225094199,0.324883521
373,France,2006,6.582700253,10.51864243,0.943929076,70.95704651,0.789120734,0.777402222,0.288682431,0.361352921
374,France,2008,7.008064747000001,10.5321579,0.935350597,71.31040955,0.833327115,0.745671511,0.280619293,0.452659398
375,France,2009,6.2834982870000005,10.497159,0.9181585309999999,71.48602295,0.7982131840000001,0.7629392740000001,0.303366601,0.474448889
376,France,2010,6.797901154,10.51168442,0.942954779,71.70446014,0.8497021790000001,0.789724112,0.260568112,0.401466221
377,France,2011,6.959185122999999,10.52742672,0.92128557,72.1006546,0.903366625,0.780809402,0.28099477300000003,0.375089258
378,France,2012,6.649365425,10.52471447,0.93709743,71.97216034,0.8413203359999999,0.754119575,0.252988011,0.44062534
379,France,2013,6.66712141,10.52691746,0.9076908229999999,71.97216034,0.8777957559999999,0.8001360890000001,0.20496968899999998,0.395130515
380,France,2014,6.466867924,10.52445126,0.877504528,71.97216034,0.8034741879999999,0.8110544679999999,0.215893835,0.26380172399999996
381,France,2015,6.357625007999999,10.53086185,0.895719409,71.97216034,0.8170362109999999,0.785965919,0.21540027899999997,0.32825270300000003
417,Greece,2005,6.006309986000001,10.30297661,0.836539447,69.45642853,0.7341718079999999,0.691997588,0.263643026,0.48754349399999997
418,Greece,2007,6.646961212000001,10.38387585,0.8080026509999999,69.63173676,0.575308859,0.7379242779999999,0.22174412,0.38142845
419,Greece,2009,6.038574696,10.33440304,0.793317616,70.28807831,0.44310784299999995,0.648513556,0.253589481,0.316206783
420,Greece,2010,5.839558601,10.28106594,0.8684224490000001,70.46338654,0.484110981,0.633947492,0.291516393,0.236502409
421,Greece,2011,5.372039795,10.18801308,0.85155499,70.76483154,0.5281259420000001,0.591371894,0.322790802,0.17515121399999997
422,Greece,2012,5.0963540080000005,10.11494637,0.81214112,70.67931366,0.37261042,0.580687582,0.35150629299999997,0.126218989
423,Greece,2013,4.720251083,10.08833885,0.686650038,70.67931366,0.42596653100000004,0.689162374,0.48218315799999995,0.143608585
424,Greece,2014,4.75623703,10.10120773,0.832333207,70.67931366,0.369156331,0.6946759220000001,0.385433316,0.18829274199999999
425,Greece,2015,5.622519016,10.09350872,0.834824681,70.67931366,0.531736314,0.73975122,0.277412534,0.437318921
534,Italy,2005,6.853783607,10.52217484,0.9280006890000001,71.05004883,0.802194953,0.678837299,0.29469814899999996,0.238738
535,Italy,2007,6.574412346,10.54861927,0.912292421,71.62280273,0.684297025,0.715646088,0.303445637,0.30342415
